Date,Title,Author,Type,Genre,Rating,Review
3/4/2018,The Moral Landscape,Sam Harris,Nonfiction,Science,4.6,"I absolutely love the premise of this book and it's unfortunate that this book even needed to be written as it feels like common sense to me. This also made it somewhat dissapointing as I wish he would have made an attempt to define some kind of framework. But, to be fair, that would have been outside of the scope of text which primarily focuses on arguing for the concept of a science of morality. "
2/20/2018,Mastering Logical Fallacies,Michael Withey,Nonfiction,Philosophy,4,"I enjoyed the format of the book and thought it worked well for the subject matter. It was a great general introduction to various logical fallacies, but it did leave me wanting more depth at points, but that is to be expected with general guides like this. I also thought that many of the fallacies were just specific versions of other more general fallacies. This was fine, but it did point to a need for categories or classes of fallacies and not just an alphabetical list."
2/18/2018,Waking Up,Sam Harris,Nonfiction,Philosophy,4.5,I gained some needed validation from this book. I've missed my meditation practice from years ago when I was religious. Sam has explored deeply this merging of practice with reason that my mind has been returning to lately.
2/8/2018,The Little Prince,Antoine de Saint-Exupéry,Fiction,Children,2,"I am told this is a beloved classic. I can't say that I liked it. Granted it's for children, but when compared to another classic like Charolette's Web which I thought was very well done, it's lacking. There were some moments of beauty like how becoming tamed means finding something more beautiful than before, but then the implied duality of spirit and body seemed forced. Even the Alchemist which was strongly spiritual was easy to look past in this regard because of a deeper more practical life message. "
1/26/2018,Lincoln in the Bardo,George Saunders,Fiction,"Novel, experimental",2.5,this is a tough one to review. It took me a long time to get into the experimental style. It’s definitely unique. But towards the end I was engaged and the reading flowed. Still I don’t think that I’ll look back fondly on this one. It only felt like Saunders from time to time.
1/14/2018,Are Numbers Real?,Brian Clegg,Nonfiction,Math,2,"I've been interested in the question for a few years. I found the first half of the book very interesting, but the second half (or so) seemed to explore specific domains too much. There was a whole section just on general relativity that, while interesting, didn't directly contribute to the topic. I can't remember when I started this book exactly, but I put it down for several months before finally finishing it today. It could have been half as long and twice as good."
1/11/2018,Artemis,Andy Weir,Fiction,Science Fiction,3.9,"I enjoyed it. It wasn't a masterpiece of literature. I wasn't a fan of the teenage girl attitude (even though she wasn't a teenager) of the main character, but it didn't ruin the story for me either. It was fun and I appreciated the detail and accuracy of the scientific aspects of the book. It was a fun ride, but probably one I wont remember for long. "
1/4/2018,Free Will,Sam Harris,Nonfiction,Philosophy,4.5,"A very well written argument against the concept of Free Will. It was short, but took me a while to read because of the constant argument it triggered in my mind. I think there is a lot that he is wrong about in regards to consciousness but at the same time I think he's right about his conclusions. I kept thinking of an essay to refute his conclusion, but I found that it kept relying on mechanistic explanations and didn't address his ultimate point that the idea of free will is self contradictory. I can't disagree with that, though I do disagree with his method to reaching that conclusion. It gave me a lot to think about and for that I like this book. I'll most likely reread it again as my work on consciousness progresses further. "
12/28/2017,CivilWarland In Bad Decline,George Saunders,Fiction,short stories,4,"God I love this guy. He makes me laugh and then (almost) cry. While not as ""good"" as 10th of Dec, it was still great. "
11/29/2017,Turtles all the Way Down,John Green,Fiction ,YA,3.5,"It was an enjoyable read, but not nearly as good as A Fault in Our Stars. It was interesting, though, to get an inside look into OCD."
